,ticker,exchange,assetType,priceCurrency,startDate,endDate
346,000786,SHE,Stock,CNY,2018-01-01,2020-06-19
347,000787,SHE,Stock,CNY,,
348,000788,SHE,Stock,CNY,2018-01-01,2020-06-19
349,000789,SHE,Stock,CNY,2018-01-01,2020-06-19
350,000790,SHE,Stock,CNY,2015-01-05,2020-06-19
351,000791,SHE,Stock,CNY,2018-01-01,2020-06-19
352,000792,SHE,Stock,CNY,2000-01-03,2020-04-29
353,000793,SHE,Stock,CNY,2018-01-02,2020-06-19
354,000795,SHE,Stock,CNY,2000-01-03,2020-06-19
355,000796,SHE,Stock,CNY,2007-08-30,2020-06-19
356,000797,SHE,Stock,CNY,2018-01-01,2020-06-19
357,000798,SHE,Stock,CNY,2018-01-02,2020-06-19
358,000799,SHE,Stock,CNY,2018-01-01,2020-06-19
359,000800,SHE,Stock,CNY,2018-01-01,2020-06-19
360,000801,SHE,Stock,CNY,2018-01-01,2020-06-19
361,000802,SHE,Stock,CNY,2018-01-01,2020-06-19
362,000803,SHE,Stock,CNY,2007-08-30,2020-06-19
363,000805,SHE,Stock,CNY,,
364,000806,SHE,Stock,CNY,2007-08-30,2020-06-19
365,000807,SHE,Stock,CNY,2018-01-02,2020-06-19
366,000809,SHE,Stock,CNY,2000-01-03,2020-06-19
367,000810,SHE,Stock,CNY,2018-01-01,2020-06-19
368,000811,SHE,Stock,CNY,2018-01-01,2020-06-19
369,000812,SHE,Stock,CNY,2007-08-30,2020-06-19
370,000813,SHE,Stock,CNY,2018-01-02,2020-06-19
371,000815,SHE,Stock,CNY,2000-01-03,2020-06-19
372,000816,SHE,Stock,CNY,2000-01-03,2020-06-19
373,000817,SHE,Stock,CNY,,
374,000818,SHE,Stock,CNY,2018-01-01,2020-06-19
375,000819,SHE,Stock,CNY,2018-01-01,2020-06-19
376,000820,SHE,Stock,CNY,2007-08-30,2020-06-19
377,000821,SHE,Stock,CNY,2000-01-03,2020-06-19
378,000822,SHE,Stock,CNY,2018-01-01,2020-06-19
379,000823,SHE,Stock,CNY,2000-01-03,2020-06-19
380,000825,SHE,Stock,CNY,2018-01-01,2020-06-19
381,000826,SHE,Stock,CNY,2018-01-01,2020-06-19
382,000827,SHE,Stock,CNY,,
383,000828,SHE,Stock,CNY,2018-01-01,2020-06-19
384,000829,SHE,Stock,CNY,2018-01-02,2020-06-19
385,000830,SHE,Stock,CNY,2000-01-03,2020-06-19
