,ticker,exchange,assetType,priceCurrency,startDate,endDate
11223,BERJ,PINK,Stock,USD,2017-10-11,2017-11-28
11224,BERK,OTCQB,Stock,USD,1985-06-10,2020-06-22
11225,BERK1,NASDAQ,Stock,USD,,
11226,BERN,BATS,ETF,USD,2017-10-17,2019-08-19
11227,BERS,NASDAQ,Stock,USD,,
11228,BERW,NASDAQ,Stock,USD,,
11229,BERWX,NMFQS,Mutual Fund,USD,1986-01-02,2018-05-01
11230,BERY,NYSE,Stock,USD,2012-10-04,2020-06-22
11231,BESIX,NMFQS,Mutual Fund,USD,2011-10-25,2020-06-22
11232,BESIY,PINK,Stock,USD,2007-07-13,2020-06-22
11233,BESMX,NMFQS,Mutual Fund,USD,2015-12-30,2020-06-22
11234,BESN,PINK,Stock,USD,,
11235,BESNQ,PINK,Stock,USD,2017-10-09,2018-10-31
11236,BESRX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-22
11237,BEST,NYSE,Stock,USD,2017-09-20,2020-06-22
11238,BEST,PINK,Stock,USD,2007-08-20,2017-12-21
11239,BEST1,NASDAQ,Stock,USD,,
11240,BESVF,OTCGREY,Stock,USD,2017-10-18,2020-06-12
11241,BET,NYSE,Stock,USD,,
11242,BET,ASX,Stock,USD,2018-06-14,2019-06-25
11243,BET:AU,OTCGREY,Stock,USD,2018-06-14,2020-05-14
11244,BETFX,NMFQS,Mutual Fund,USD,2007-05-02,2020-06-22
11245,BETM,NASDAQ,Stock,USD,,
11246,BETR,NYSE,Stock,USD,2015-08-05,2018-01-30
11247,BETRF,OTCQB,Stock,USD,2011-01-20,2020-06-22
11248,BETS,OTCMKTS,Stock,USD,2007-05-07,2020-06-22
11249,BETSD,PINK,Stock,USD,2011-02-28,2018-05-14
11250,BETW,OTCMKTS,Stock,USD,2007-07-18,2020-06-22
11251,BETZ,NYSE ARCA,ETF,USD,2020-06-04,2020-06-22
11252,BEUHF,OTCGREY,Stock,USD,,
11253,BEUT,PINK,Stock,USD,2014-07-21,2020-06-19
11254,BEV,,Stock,USD,,
11255,BEVFF,OTCGREY,Stock,USD,2006-12-14,2020-06-22
11256,BEVIX,NMFQS,Mutual Fund,USD,2012-08-31,2017-08-11
11257,BEVRX,NMFQS,Mutual Fund,USD,2016-01-04,2017-08-11
11258,BEVS,PINK,Stock,USD,2012-07-23,2018-03-13
11259,BEVVF,OTCQB,Stock,USD,2015-11-03,2020-06-22
11260,BEWFF,OTCQB,Stock,USD,2014-09-23,2020-06-22
11261,BEXFX,NMFQS,Mutual Fund,USD,2011-01-04,2020-06-22
11262,BEXIX,NMFQS,Mutual Fund,USD,2011-01-04,2020-06-22
11263,BEXP,NASDAQ,Stock,USD,,
11264,BEXUX,NMFQS,Mutual Fund,USD,2017-01-03,2020-06-22
11265,BEZ,NYSE,Stock,USD,,
11266,BF-A,NYSE,Stock,USD,1973-05-03,2020-06-22
11267,BF-B,NYSE,Stock,USD,1984-09-07,2020-06-22
11268,BFA,NYSE,Stock,USD,2017-09-08,2018-10-29
11269,BFABX,NMFQS,Mutual Fund,USD,2000-03-15,2017-04-10
11270,BFACX,NMFQS,Mutual Fund,USD,2001-03-15,2020-06-22
